timestamp,open,high,low,close,volume
2023-02-28 15:00:00,23424.0,23541.4,23409.4,23521.1,187612.027465
2023-02-28 16:00:00,23518.1,23599.9,23430.9,23457.1,79431.02108174
2023-02-28 17:00:00,23456.2,23555.5,23451.1,23534.0,41266.32881879
2023-02-28 18:00:00,23533.1,23548.9,23440.9,23480.1,41736.78959655
2023-02-28 19:00:00,23481.0,23491.1,23213.7,23260.5,123523.09724748
2023-02-28 20:00:00,23258.5,23345.3,23171.6,23274.8,148247.92555003
2023-02-28 21:00:00,23275.2,23275.4,23028.7,23137.4,220398.09798717
2023-02-28 22:00:00,23139.3,23236.3,23099.2,23159.3,47637.17603457
2023-02-28 23:00:00,23151.1,23198.6,23102.6,23140.1,52635.38925983
2023-03-01 00:00:00,23143.0,23216.1,23027.7,23098.5,75552.39010748
2023-03-01 01:00:00,23099.3,23291.8,23079.0,23247.9,91741.15798612
2023-03-01 02:00:00,23248.3,23333.0,23239.1,23329.3,31722.72872894
2023-03-01 03:00:00,23329.3,23495.9,23308.5,23444.0,128987.4479284
2023-03-01 04:00:00,23444.0,23841.1,23427.7,23789.9,171324.60335615
2023-03-01 05:00:00,23788.4,23823.2,23640.4,23695.3,136282.65187981
2023-03-01 06:00:00,23695.3,23799.9,23671.6,23752.2,103478.22620712
2023-03-01 07:00:00,23752.2,23761.7,23690.0,23717.1,61355.83512092
2023-03-01 08:00:00,23717.9,23999.0,23689.0,23874.4,115376.22450129
2023-03-01 09:00:00,23873.4,23913.6,23730.0,23755.5,70784.60649685
2023-03-01 10:00:00,23755.9,23784.0,23674.2,23779.3,32956.61332365
2023-03-01 11:00:00,23779.2,23784.8,23706.1,23739.8,25727.93240885
2023-03-01 12:00:00,23738.1,23822.7,23705.7,23720.3,34154.91627369
2023-03-01 13:00:00,23727.3,23734.1,23622.6,23695.3,30041.92086626
2023-03-01 14:00:00,23693.2,23880.9,23576.9,23681.4,151980.48972485
2023-03-01 15:00:00,23680.8,23766.1,23579.9,23716.9,79437.17944992
2023-03-01 16:00:00,23713.6,23741.1,23562.7,23696.8,26899.37390554
2023-03-01 17:00:00,23702.0,23744.0,23676.0,23712.4,7309.00408508
2023-03-01 18:00:00,23709.6,23726.1,23655.4,23695.9,5034.52963483
2023-03-01 19:00:00,23695.9,23695.9,23334.1,23359.1,33813.35095387
